code,name
A319,Airbus A319
A320,Airbus A320
A321,Airbus A321
A330,Airbus A330
A340,Airbus A340
A350,Airbus A350
A380,Airbus A380
B737,Boeing 737
B738,Boeing 737-800
B739,Boeing 737-900
B747,Boeing 747
B757,Boeing 757
B767,Boeing 767
B777,Boeing 777
B787,Boeing 787 Dreamliner
CRJ2,Bombardier CRJ200
CRJ7,Bombardier CRJ700
CRJ9,Bombardier CRJ900
DH8A,De Havilland Dash 8-100
DH8B,De Havilland Dash 8-200
DH8C,De Havilland Dash 8-300
DH8D,De Havilland Dash 8-400
E135,Embraer ERJ-135
E145,Embraer ERJ-145
E170,Embraer E-Jet E170
E175,Embraer E-Jet E175
E190,Embraer E-Jet E190
MD80,McDonnell Douglas MD-80
MD88,McDonnell Douglas MD-88
MD90,McDonnell Douglas MD-90
F900,Dassault Falcon 900
C25A,Cessna Citation CJ2
C25B,Cessna Citation CJ3
C25C,Cessna Citation CJ4
C56X,Cessna Citation Excel
C680,Cessna Citation Sovereign
C750,Cessna Citation X
GLF4,Gulfstream IV
GLF5,Gulfstream V
GLF6,Gulfstream G650
H25B,Hawker 800
PC12,Pilatus PC-12
TBM7,TBM 700
TBM8,TBM 850
TBM9,TBM 900
E75S,Embraer E175
SR22,Cirrus SR22
B763,Boeing 767-300
B38M,Boeing 737 Max 8
GL17,Boeing C17
GL7T,Bombardier 7500
B772,Boeing 777-200
E75L,Embraer E175
C68A,Cessna Citation Latitude
G280,Gulfstream G280
C700,Cessna Citation
GA6C,Gulfstream G600
B39M,Boeing 737 Max 9
B752,Boeing 757-200
E545,Embraer Legacy
BCS3,Airbus A220
A21N,Airbus A321
A35K,Airbus A350
BCS1,Airbus A220
E550,Embraer Legacy 500
A306,Airbus A300
ASTR,Gulfstream G100
E55P,Embraer Phenom 300
B712,Boeing 717-200
CL60,Bombadier Challenger 600
CL35,Bombadier Challenger 300
B789,Boeing 787-9 Dreamliner
HDJT,Honda HA-420
B77L,Boeing 777-200LR
B350,Beechcraft Super King
BE33,Beechcraft 33 Bonanza
BE40,Beechcraft 400XP
FA7X,Dassault Falcon 7X
GL5T,Airborne Bombadier Global 5000
PA30,Piper PA-30
PA46,Piper PA-46
XL2,Liberty XL2
M600,Piper Meridian M600
C172,Cessna 172 Skyhawk
C132,Douglas C-132
B744,Boeing 747-400
C172,Cessna 172 Skyhawk
C525,Cessna Citation Jet/M2
SR20,Cirrus SR20
C210,Cessna 210 Centurion
M20T,Mooney M-20k
A20N,Airbus A-320neo
P28B,Piper PA-28 Cherokee
G150,Gulfstream Areospace G150
BE9L,Beechcraft 90 King Air
LJ45,Learjet 45
RV7,Van's Aircraft RV-7
CL30,Bombardier Challenger 300
B35L,Embraer EMB-135BJ Legacy
CL30,Bombadier BD-100 Challenger 300
GLEX,Bombadier Global Express
B78X,Boeing 787-10 Dreamliner
S22T,Cirrus SR22
C560,Cessna Citation V
